top - 12:58:59 up 7 min,  4 users,  load average: 2.52, 0.93, 0.33
Tasks:  47 total,   4 running,  43 sleeping,   0 stopped,   0 zombie
Cpu(s):   1.1% user,  29.5% system,   0.0% nice,  69.4% idle
Mem:    904204k total,    34200k used,   870004k free,     1176k buffers
Swap:        0k total,        0k used,        0k free,    15708k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  666 u1        20   0   236  236  196 R 42.1  0.0   0:37.61 u1p2               
  665 u1        19   0   236  236  196 R 34.1  0.0   0:39.46 u1p1               
  668 u2        14   0   236  236  196 R 24.0  0.0   0:29.37 u2p1               
    1 root       8   0   500  500  448 S  0.0  0.1   0:04.95 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.52 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.1   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.0   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.1   0:00.06 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.2   0:00.03 klogd              
  557 Debian-e   8   0  1748 1744 1504 S  0.0  0.2   0:00.01 exim4              
  563 root       9   0   720  720  652 S  0.0  0.1   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.1   0:00.01 lpd                
  574 root       8   0  1540 1536 1396 S  0.0  0.2   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.1   0:00.01 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.1   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.1   0:00.01 cron               
  591 root       9   0   472  472  420 S  0.0  0.1   0:00.02 getty              
  592 root       9   0   472  472  420 S  0.0  0.1   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.1   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.1   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.1   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.1   0:00.00 getty              
  597 root       9   0  2232 2224 1944 S  0.0  0.2   0:00.76 sshd               
  599 root       9   0  2232 2224 1944 S  0.0  0.2   0:00.00 sshd               
  601 root       9   0  1672 1672 1208 S  0.0  0.2   0:00.03 bash               
  605 root       9   0  2172 2164 1984 S  0.0  0.2   0:00.01 sshd               
